Occupation Title,,Median Annual Wage 2018,Typical Entry-Level Education,Education Code,Work Experience in a Related Occupation,Typical on-the-job Training
Court reporters    * Court Recording Monitor* Court Stenographer* Court Transcriber* Deposition Reporter* Stenocaptioner* Voice Writing Reporter,,"57,150",Postsecondary nondegree award,5,None,Short-term on-the-job training
"Court, municipal, and license clerks    * Circuit Court Clerk* City Clerk* Court Clerk* Courtroom Clerk* Deputy Court Clerk* Docket Clerk* Dog Licenser* License Clerk* Motor Vehicle License Clerk* Motor Vehicle Representative* Municipal Clerk* Tax Clerk* Township Clerk* Warrant Clerk",,"38,450",High school diploma or equivalent,7,None,Long-term on-the-job training
Craft artists    * Furniture Artist* Hand Potter* Metal Arts Production Artist* Quilter,,"34,240",No formal educational credential,8,None,Long-term on-the-job training
Crane and tower operators    * Boom Crane Operator* Bridge Crane Operator* Cherry Picker Operator* Coal Tower Operator* Electric Crane Operator* Erecting Crane Operator* Monorail Crane Operator* Overhead Crane Operator* Port Crane Operator* Radio Control Crane Operator* Scrap Crane Operator* Tower Loader Operator* Woodyard Crane Operator,,"54,140",High school diploma or equivalent,7,Less than 5 years,Moderate-term on-the-job training
Credit analysts    * Chief Credit Analyst* Credit Analyst* Credit Assessment Analyst* Credit Risk Analyst* Factorer,,"71,520",Bachelor's degree,3,None,None
"Credit authorizers, checkers, and clerks    * Charge Authorizer* Commercial Credit Reviewer* Credit Authorizer* Credit Charge Authorizer* Credit Checker* Credit Investigator* Credit Processor* Credit Rating Checker* Credit Reference Clerk* Credit Report Checker",,"38,750",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Credit counselors    * Credit Counselor* Debt Management Counselor* Financial Assistance Advisor* Loan Counselor,,"45,180",Bachelor's degree,3,None,Moderate-term on-the-job training
"Criminal justice and law enforcement teachers, postsecondary    * Criminal Justice Professor* Criminology Professor* Penology Professor",,"61,900",Doctoral or professional degree,1,None,None
Crossing guards    * Construction Site Crossing Guard* Crossing Guard* School Crossing Guard* School Traffic Guard,,"28,960",No formal educational credential,8,None,Short-term on-the-job training
"Crushing, grinding, and polishing machine setters, operators, and tenders    * Beveling and Edging Machine Operator* Beveller Operator* Blanchard Grinder Operator* Crusher Plant Operator* Cullet Crusher and Washer* Industrial Coffee Grinder* Marble and Granite Polisher* Mix Crusher Operator* Pulverizer Operator",,"36,400",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Curators    * Collections Curator* Collections and Archives Director* Curator* Educational Institution Curator* Exhibitions and Collections Manager* Herbarium Curator* Museum Curator* Photography and Prints Curator,,"53,780",Master's degree,2,None,None
Customer service representatives    * Complaint Clerk* Contact Center Specialist* Customer Complaint Clerk* Customer Contact Specialist* Customer Relations Representative* Customer Support Representative* Gas Distribution and Emergency Clerk* Passenger Relations Representative* Policyholder Information Clerk* Warranty Clerk,,"33,750",High school diploma or equivalent,7,None,Short-term on-the-job training
"Cutters and trimmers, hand    * Fur Trimmer* Hand Cloth Cutter* Hand Fabric Cutter* Portable Machine Cutter",,"29,390",No formal educational credential,8,None,Short-term on-the-job training
"Cutting and slicing machine setters, operators, and tenders    * Dog Food Shredder Operator* Glass Cutting Machine Operator* Insulation Cutter* Paper Cutter* Paper Slitter* Rubber Trimmer* Shearing Machine Tender* Trimming Operator",,"34,620",High school diploma or equivalent,7,None,Moderate-term on-the-job training
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic    * Crimping Machine Operator for Metal* Four Slide Machine Setter* Metal Punch Press Operator* Metal Slitter* Metal Stamper",,"34,460",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Dancers    * Ballerina* Ballet Company Member* Ballet Dancer* Ballet Soloist* Burlesque Dancer* Dance Artist* Dancer* Discotheque Dancer* Exotic Dancer* Go-Go Dancer* Line Dancer* Soft Shoe Dancer* Tap Dancer,,N/A,No formal educational credential,8,None,Long-term on-the-job training
Data entry keyers    * Customs Entry Clerk* Data Entry Clerk* Data Input Clerk* Data Keyer* Data Processing Clerk* Data Typist* Key Punch Operator* Keypunch Operator* Keypuncher,,"32,170",High school diploma or equivalent,7,None,Short-term on-the-job training
Database administrators    * Automatic Data Processing Planner* DBMS Specialist* Database Administration Manager* Database Coordinator* Database Management System Specialist* Database Security Administrator,,"90,070",Bachelor's degree,3,None,None
Demonstrators and product promoters    * Home Demonstrator* Home Service Demonstrator* Hostess Party Sales Representative* In-Store Demonstrator,,"28,960",No formal educational credential,8,None,Short-term on-the-job training
Dental assistants    * Certified Dental Assistant* Dental Aide* Dental Assistant* Expanded Functions Dental Assistant* Orthodontic Assistant* Orthodontist Assistant* Registered Dental Assistant* Surgical Dental Assistant,,"38,660",Postsecondary nondegree award,5,None,None
Dental hygienists    * Dental Hygienist* Oral Hygienist* RDH* Registered Dental Hygienist,,"74,820",Associate's degree,4,None,None
Dental laboratory technicians    * Crown Ceramist* Crown and Bridge Dental Lab Technician* Crown and Bridge Technician* Dental Ceramist* Dental Laboratory Worker* Dental Mold Maker* Dental Technician* Orthodontic Technician,,"40,440",High school diploma or equivalent,7,None,Moderate-term on-the-job training
"Dentists, all other specialists    * Endodontist* Maxillofacial Pathology* Oral Pathologist* Pediatric Dentist* Pedodontist* Periodontist* Public Health Dentist",,"146,970",Doctoral or professional degree,1,None,Internship/residency
"Dentists, general    * Family Dentist",,"151,850",Doctoral or professional degree,1,None,None
"Derrick operators, oil and gas    * Derrick Operator* Gas Derrick Operator* Oil Derrick Operator* Rotary Derrick Operator* Well Service Derrick Worker",,"46,120",No formal educational credential,8,None,Short-term on-the-job training
"Designers, all other    * Memorial Marker Designer",,"60,570",Bachelor's degree,3,None,None
Desktop publishers    * DTP Operator* Desktop Publisher* Desktop Publishing Specialist* Electronic Console Display Operator* Electronic Imager* Electronic Pagination System Operator* Electronic Publisher* Electronic Publishing Specialist,,"42,910",Associate's degree,4,None,Short-term on-the-job training
Detectives and criminal investigators    * Criminal Investigator* Deputy United States Marshal* FBI Investigator* Homicide Detective* Narcotics Detective* Narcotics Investigator* Police Detective,,"81,920",High school diploma or equivalent,7,Less than 5 years,Moderate-term on-the-job training
Diagnostic medical sonographers    * Cardiac/Vascular Sonographer* Diagnostic Medical Sonographer* Registered Diagnostic Medical Sonographer* Sonographer* Ultrasonographer* Ultrasound Technician* Ultrasound Technologist,,"72,510",Associate's degree,4,None,None
Dietetic technicians    * Clinical Dietetic Technician* Cook Chill Technician* DTR* Dietary Aide* Dietary Technician* Dietetic Technician* Nutrition Technician* Registered Diet Technician,,"27,140",Associate's degree,4,None,None
Dietitians and nutritionists    * Clinical Dietitian* Dietitian* Nutritionist* Pediatric Dietician* Public Health Dietitian* Public Health Nutritionist* Research Dietitian* Sports Nutritionist* Therapeutic Dietitian,,"60,370",Bachelor's degree,3,None,Internship/residency
Dining room and cafeteria attendants and bartender helpers    * Banquet Set Up Person* Bar Back* Barback* Buffet Attendant* Bus Person* Busser* Lunchroom Attendant,,"22,270",No formal educational credential,8,None,Short-term on-the-job training
"Directors, religious activities and education    * Campus Ministry Director* Christian Education Minister* Education Minister* Parish Religious Education Director* Religious Activities Director* Religious Education Coordinator* Religious Education Director* Student Ministries Director* Youth Ministry Director",,"40,810",Bachelor's degree,3,Less than 5 years,None
Dishwashers    * Dish Room Worker* Dishwasher* Silverware Cleaner,,"22,730",No formal educational credential,8,None,Short-term on-the-job training
"Dispatchers, except police, fire, and ambulance    * Airplane Dispatch Clerk* Auto Service Dispatcher* Bus Dispatcher* Crew Dispatcher* Maintenance Dispatcher* School Bus Dispatcher* Taxicab Dispatcher* Tow Truck Dispatcher* Train Dispatcher* Truck Dispatcher",,"39,470",High school diploma or equivalent,7,None,Moderate-term on-the-job training
"Door-to-door sales workers, news and street vendors, and related workers    * Newspaper Carrier* Newstand Vendor* Peddler* Souvenir Street Vendor",,"26,430",No formal educational credential,8,None,Short-term on-the-job training
"Drafters, all other    * Blueprint Tracer* Drafting Layout Worker* Draughtsman* Geological Drafter* Marine Drafter",,"51,850",Associate's degree,4,None,None
Dredge operators    * Dredge Deckhand* Dredge Engineer* Dredge Mate* Dredge Operator* Dredger,,"45,260",High school diploma or equivalent,7,None,Moderate-term on-the-job training
"Drilling and boring machine tool setters, operators, and tenders, metal and plastic    * Bore Mill Operator for Plastic* Boring Mill Operator for Metal* Drill Press Operator for Metal* Horizontal Boring Mill Operator for Metal* Radial Drill Operator for Plastic* Radial Drill Press Operator for Plastic* Reaming Machine Operator for Plastic",,"38,020",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Driver/sales workers    * Bakery Deliverer* Bobtailer* Delivery Sales worker* Newspaper Deliverer* Newspaper Delivery Driver* Pizza Delivery Driver* Route Sales Person* Route Salesperson* Sales Route Driver,,"24,700",High school diploma or equivalent,7,None,Short-term on-the-job training
Drywall and ceiling tile installers    * Acoustical Ceiling Installer* Drywall Applicator* Drywall Finisher* Drywall Hanger* Drywall Installer* Drywall Sander* Drywall Stripper* Drywall Worker* Sheet Rock Applier* Sheet Rock Hanger* Sheet Rock Installer* Sheet Rock Worker,,"43,730",No formal educational credential,8,None,Moderate-term on-the-job training
"Earth drillers, except oil and gas    * Blast Hole Driller* Churn Drill Operator* Churn Driller* Earth Auger Operator* Earth Boring Machine Operator* Hard Rock Drill Operator* Rock Drill Operator",,"44,430",High school diploma or equivalent,7,None,Moderate-term on-the-job training
"Economics teachers, postsecondary    * Agricultural Economics Professor* Econometrics Professor* Industrial Economics Professor* Labor Economics Professor* Macroeconomics Professor* Microeconomics Professor",,"101,480",Doctoral or professional degree,1,None,None
Economists    * Agricultural Economist* Econometrician* Economic Development Specialist* Economic Research Analyst* Economist* Environmental Economist* Industrial Economist* Labor Economist* Price Economist* Social Economist* Tax Economist* Trade Economist,,"104,340",Master's degree,2,None,None
Editors    * Advertising Editor* Art Editor* Book Editor* Copy Desk Chief* Copy Editor* Index Editor* Manuscript Editor* Newspaper Photo Editor* Publications Editor* Rewrite Editor* Scientific Publications Editor* Sports Editor* Technical Editor,,"59,480",Bachelor's degree,3,Less than 5 years,None
"Education administrators, all other",,"82,850",Bachelor's degree,3,Less than 5 years,None
"Education administrators, elementary and secondary school    * Elementary School Principal* High School Principal* Junior High School Principal* K-12 School Principal* K-8 School Principal* Middle School Principal* Secondary School Principal",,"95,310",Master's degree,2,5 years or more,None
"Education administrators, postsecondary    * Adult Basic Education Manager* Continuing Education Director* Graduate School Dean* Graduate Studies Dean* Provost* University Administrator* University Dean",,"94,340",Master's degree,2,Less than 5 years,None
"Education administrators, preschool and childcare center/program    * Childcare Center Administrator* Childcare Center Director* Early Head Start Director* Head Start Director* Prekindergarten Program Coordinator* Preschool Director",,"47,940",Bachelor's degree,3,Less than 5 years,None
"Education teachers, postsecondary    * Counselor Education Professor* Literacy Education Professor* Mathematics Education Professor* Primary Education Professor* Science Education Professor* Secondary Education Professor* Special Education Professor",,"64,780",Doctoral or professional degree,1,Less than 5 years,None
"Education, training, and library workers, all other    * General Educational Development (GED) Examiner* Individualized Education Plan (IEP) Aide* Scholastic Aptitude Test (SAT) Grader",,"42,080",Bachelor's degree,3,None,None
"Educational, guidance, school, and vocational counselors    * Career Counselor* Career Technical Counselor* Education Counselor* International Student Counselor* School Adjustment Counselor* School Guidance Counselor* Student Advisor* Student Development Advisor* Student Services Counselor* Student Success Counselor* Study Abroad Advisor* Vocational Adviser",,"56,310",Master's degree,2,None,None
"Electric motor, power tool, and related repairers    * AC/DC Rewinder* Armature Rewinder* Battery Repairer* Dynamo Repairer* Electric Motor Fitter* Electric Motor Rewinder* Electrical Parts Reconditioner",,"42,840",High school diploma or equivalent,7,Less than 5 years,Moderate-term on-the-job training
Electrical and electronics drafters    * Circuit Board Drafter* Electrical Computer Aided Design and Drafting Technician* Electrical Drafter* Electrical Systems Drafter* Electronic Drafter* Printed Circuit Board Drafter,,"60,070",Associate's degree,4,None,None
Electrical and electronics engineering technicians    * Electrical Design Technician* Electrical Engineering Technician* Electrical Power Station Technician* Electronic Instrument Testing Technician* Lighting Engineering Technician* Programmable Logic Controller Programmer* Semiconductor Development Technician,,"64,330",Associate's degree,4,None,None
"Electrical and electronics installers and repairers, transportation equipment    * Locomotive Electrician* Marine Electronics Repairer* Marine Electronics Technician",,"60,340",Postsecondary nondegree award,5,None,Long-term on-the-job training
"Electrical and electronics repairers, commercial and industrial equipment    * Industrial Aerial Installer* Industrial Robotics Mechanic* Missile Pad Mechanic* Public Address System Mechanic",,"58,110",Postsecondary nondegree award,5,None,Long-term on-the-job training
"Electrical and electronics repairers, powerhouse, substation, and relay    * Generating Station Mechanic* Power Transformer Repairer* Powerhouse Electrician* Protective Relay Technician* Relay Technician* Substation Electrician* Substation Mechanic",,"80,200",Postsecondary nondegree award,5,Less than 5 years,Moderate-term on-the-job training
Electrical engineers    * Electrical Design Engineer* Electrical Engineer* Electrical Systems Engineer* Illuminating Engineer* Power Distribution Engineer,,"96,640",Bachelor's degree,3,None,None
Electrical power-line installers and repairers    * Electric Powerline Examiner* Electric Utility Lineworker* Electrical High Tension Tester* Electrical Lineworker* Power Lineworker* Underground Conduit Installer,,"70,910",High school diploma or equivalent,7,None,Long-term on-the-job training
"Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers",,"33,660",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Electricians    * Chief Electrician* Control Electrician* Electrical Maintenance Worker* Electrical Sign Wirer* House Wirer* Licensed Electrician* Lighting Fixture Installer* Marine Electrician* Master Electrician* Solar Photovoltaic Electrician* Stage Electrician,,"55,190",High school diploma or equivalent,7,None,Apprenticeship
Electro-mechanical technicians    * Remotely Piloted Vehicle Engineering Technician* Robotics Testing Technician,,"57,790",Associate's degree,4,None,None
"Electronic equipment installers and repairers, motor vehicles    * Auto Electrician* Auto Phone Installer* Auto Radio Mechanic* Automotive Electrician* Car Alarm Installer* Car Stereo Installer* GPS Car Navigation Installer* Mobile Electronics Installation Specialist",,"35,590",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Electronic home entertainment equipment installers and repairers    * Cable Installation Technician* Electric Organ Checker* Electronic Musical Instrument Repairer* Home Stereo Equipment Installer* Home Theater Installer* Satellite Dish Installer* Stereo Equipment Installer* Television Installer* Television Repairer* Wireless Internet Installer,,"38,160",Postsecondary nondegree award,5,None,Short-term on-the-job training
"Electronics engineers, except computer    * Antenna Engineer* Circuit Design Engineer* Electronic Design Automation Engineer* Electronic Engineer* Electronic Parts Designer* Telecommunication Engineer",,"102,700",Bachelor's degree,3,None,None
"Elementary school teachers, except special education    * 3rd Grade Reading Teacher* 4th Grade Math Teacher* Elementary School Band Director* Elementary School Teacher* Grades 1 Thru 5 Teacher",,"58,230",Bachelor's degree,3,None,None
Elevator installers and repairers    * Elevator Adjuster* Elevator Constructor* Elevator Installer* Elevator Mechanic* Elevator Repair and Maintenance Technician* Elevator Service Technician* Escalator Installer* Escalator Mechanic* Escalator Service Mechanic* Freight Elevator Erector* Hydraulic Elevator Constructor,,"79,780",High school diploma or equivalent,7,None,Apprenticeship
"Eligibility interviewers, government programs    * Medicare Interviewer* Public Housing Interviewer* Social Security Benefits Interviewer* Unemployment Benefits Claims Taker* Welfare Interviewer",,"46,020",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Embalmers    * Anatomical Embalmer* Arterial Embalmer* Embalmer Apprentice* Licensed Embalmer* Restorative Art Embalmer,,"44,250",Associate's degree,4,None,Long-term on-the-job training
Emergency management directors    * Director of Civil Defense* Disaster Response Director* EMS Director* Emergency Management System Director* Emergency Planner* Emergency Planning and Response Manager* Emergency Preparedness Coordinator* Emergency Services Director* Emergency Services Program Coordinator* Public Safety Director,,"74,420",Bachelor's degree,3,5 years or more,None
Emergency medical technicians and paramedics    * Ambulance Driver-Paramedic* EMT* EMT-B* EMT-I/85* EMT-I/99* EMT-P* Flight Paramedic* Paramedic,,"34,320",Postsecondary nondegree award,5,None,None
Engine and other machine assemblers    * Aircraft Engine Assembler* Assembling Motor Builder* Clutch Housing Assembler* Engine Builder* Gas Turbine Assembler* Generator Assembler* Jet Engine Assembler* Machine Builder* Sewing Machine Assembler* Steam Turbine Assembler* Truck Transmission Assembler* Truck Transmission Builder,,"44,380",High school diploma or equivalent,7,None,Moderate-term on-the-job training
"Engineering teachers, postsecondary    * Aeronautical Engineering Professor* Ceramic Engineering Professor* Chemical Engineering Professor* Civil Engineering Professor* Electrical Engineering Professor* Electronics Engineering Professor* Industrial Engineering Professor* Manufacturing Engineering Professor* Marine Engineering Professor* Mechanical Engineering Professor* Petroleum Engineering Professor",,"101,720",Doctoral or professional degree,1,None,None
"Engineering technicians, except drafters, all other    * Agricultural Engineering Technicians* Biomedical Engineering Technician* Chemical Engineering Technician* Marine Engineering Technicians* Materials Engineering Technician* Metallurgical Engineering Technician* Nuclear Engineering Technician* Optical Engineering Technician* Ordnance Engineering Technician* Salvage Engineering Technician",,"63,200",Associate's degree,4,None,None
"Engineers, all other    * Corrosion Control Engineer* Mathematical Engineer* Optical Engineer* Ordnance Engineer* Photonics Engineer* Salvage Engineer",,"96,980",Bachelor's degree,3,None,None
"English language and literature teachers, postsecondary    * Children's Literature Professor* Composition Professor* Contemporary English Literature Professor* Creative Writing English Professor* Etymology Professor* Medieval English Literature Professor* Seventeenth-Century English Literature Professor* Victorian Literature Professor",,"66,590",Doctoral or professional degree,1,None,None
"Entertainers and performers, sports and related workers, all other    * Acrobat* Aerialist* Amusement Park Entertainer* Bareback Rider* Baton Twirler* Clown* Comedian* Continuity Director* Fortune Teller* Impersonator* Juggler* Magician* Marionette Performer* Palmist* Professional Poker Player* Prompter* Puppeteer* Rodeo Performer* Story Teller* Stunt Performer* Tumbler* Ventriloquist* Wire Walker",,N/A,No formal educational credential,8,None,Short-term on-the-job training
"Entertainment attendants and related workers, all other    * Jockey Valet",,"24,290",High school diploma or equivalent,7,None,Short-term on-the-job training
Environmental engineering technicians    * Air Analysis Engineering Technician* Environmental Remediation Engineering Technician* Environmental Technician* Pollution Control Engineering Technician,,"50,560",Associate's degree,4,None,None
Environmental engineers    * Air Pollution Control Engineer* Environmental Engineer* Environmental Remediation Engineer* Hazardous Substances Engineer* Hazardous Waste Management Control Engineer* Pollution Control Engineer* Soil Engineer* Waste Management Engineer* Wastewater Treatment Engineer* Water Treatment Plant Engineer,,"87,620",Bachelor's degree,3,None,None
"Environmental science and protection technicians, including health    * Air Quality Technician* Environmental Compliance Technician* Environmental Science Technician* Groundwater Monitoring Technician* Infectious Waste Technician* Pollution Control Technician* Public Health Sanitarian Technician* Radon Inspector* Waste Minimization Technician",,"46,170",Associate's degree,4,None,None
"Environmental science teachers, postsecondary    * Environmental Science Professor* Environmental Science, Management and Policy Professor* Environmental Studies Professor",,"79,910",Doctoral or professional degree,1,None,None
"Environmental scientists and specialists, including health    * Ecological Modeler* Environmental Analyst* Environmental Scientist* Hazardous Substances Scientist* Health Environmentalist* Water Pollution Scientist* Water Quality Analyst",,"71,130",Bachelor's degree,3,None,None
Epidemiologists    * Clinical Epidemiologist* Communicable Disease Specialist* Environmental Epidemiologist* Epidemiology Investigator* Malariologist* Medical Epidemiologist* Pharmacoepidemiologist,,"69,660",Master's degree,2,None,None
Etchers and engravers    * Engraver* Glass Etcher* Laser Engraver* Machine Engraver* Metal Engraver* Pantograph Engraver* Rotary Engraver* Rubber Engraver,,"31,330",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Excavating and loading machine and dragline operators    * Back Hoe Operator* Backhoe Operator* Dragline Oiler* Earth Moving Equipment Operator* End Loader Operator* Excavator* Excavator Backhoe Operator* Payloader Operator* Shovel Operator* Trenching Machine Operator* Yard Loader Operator,,"44,270",High school diploma or equivalent,7,Less than 5 years,Moderate-term on-the-job training
Executive secretaries and executive administrative assistants    * Executive Assistant,,"59,340",High school diploma or equivalent,7,Less than 5 years,None
Exercise physiologists    * Applied Exercise Physiologist* Clinical Exercise Physiologist* Kinesiotherapist,,"49,270",Bachelor's degree,3,None,None
"Explosives workers, ordnance handling experts, and blasters    * Blast Setter* Blaster* Dynamite Shooter* Dynamiter* Explosive Ordnance Handler* Explosive Technician* Tier and Detonator* Unexploded Ordnance Quality Control Worker",,"49,860",High school diploma or equivalent,7,Less than 5 years,Long-term on-the-job training
"Extraction workers, all other    * Dumper Bailer Operator* Sand Filler* Sandfill Operator",,"54,840",High school diploma or equivalent,7,None,Moderate-term on-the-job training
"Extruding and drawing machine setters, operators, and tenders, metal and plastic    * Wire Drawing Machine Tender* Wire Mill Rover",,"35,150",High school diploma or equivalent,7,None,Moderate-term on-the-job training
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers    * Drawbench Operator* Fiber Machine Tender* Synthetic Filament Extruder",,"34,200",High school diploma or equivalent,7,None,Moderate-term on-the-job training
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders    * Bowling Ball Molder* Brick Maker* Cigarette Stamper* Extrusion Press Operator* Paper Baling Machine Operator* Rubber Extrusion Operator* Sugar Presser* Tuber Operator",,"35,120",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Fabric and apparel patternmakers    * Clothing Patternmaker* Embroidery Patternmaker* Fabric Pattern Grader,,"40,560",High school diploma or equivalent,7,None,Moderate-term on-the-job training
"Fabric menders, except garment    * Curtain Mender* Fabric Awning Repairer* Hand-Woven Carpet and Rug Mender* Parachute Repairer* Sail Repairer* Tarp Repairer",,"30,730",High school diploma or equivalent,7,None,Long-term on-the-job training
Fallers    * Lumberjack* Pulpwood Cutter* Timber Cutter* Timber Faller* Timber Feller,,"44,080",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Family and general practitioners    * Board Certified Family Physician* Family Medicine Physician* Family Physician* Family Practice Medical Doctor* Family Practice Physician* Family Practitioner* GP Doctor* General Practitioner,,"201,100",Doctoral or professional degree,1,None,Internship/residency
Farm and home management advisors    * 4-H Youth Development Specialist* Agricultural Agent* Agricultural Extension Educator* Extension Service Advisor* Family Resource Management Specialist* Family and Consumer Sciences Extension Agent* Farm Business Management Agent* Farm Management Specialist* Feed Management Advisor* Home Economics Expert,,"49,840",Master's degree,2,None,None
Farm equipment mechanics and service technicians    * Agricultural Equipment Mechanic* Combine Mechanic* Dairy Equipment Mechanic* Dairy Equipment Repairer* Harvester Mechanic* Irrigation Equipment Mechanic* Milking Machine Mechanic* Tractor Mechanic,,"40,630",High school diploma or equivalent,7,None,Long-term on-the-job training
Farm labor contractors    * Farm Labor Contractor* Harvesting Contractor,,"46,150",No formal educational credential,8,Less than 5 years,Short-term on-the-job training
"Farmers, ranchers, and other agricultural managers    * Agricultural Crop Farm Manager* Animal Husbandry Manager* Aquaculture Farm Manager* Beef Farm Operator* Christmas Tree Farm Manager* Dairy Farm Manager* Fish Hatchery Manager* Greenhouse Manager* Hatchery Manager* Orchard Manager",,"67,950",High school diploma or equivalent,7,5 years or more,None
"Farmworkers and laborers, crop, nursery, and greenhouse    * Cane Cutter* Carrot Harvester* Citrus Picker* Corn Picker* Cotton Picker* Crop Picker* Flower Picker* Greenhouse Transplanter* Harvest Worker* Harvester* Orchard Hand* Orchard Worker* Pecan Gatherer* Pepper Picker* Vineyard Tender",,"24,320",No formal educational credential,8,None,Short-term on-the-job training
"Farmworkers, farm, ranch, and aquacultural animals    * Aquaculture Worker* Barn Hand* Barn Worker* Cattle Brander* Cattle Driver* Chicken Handler* Chicken Vaccinator* Cow Tender* Egg Gatherer* Farrowing Worker* Goat Herder* Groom* Hatchery Worker* Livestock Handler* Poultry Debeaker* Ranch Hand* Sheep Shearer* Shrimp Pond Laborer",,"26,560",No formal educational credential,8,None,Short-term on-the-job training
Fashion designers    * Apparel Designer* Clothes Designer* Clothing Designer* Costume Designer* Custom Furrier* Dance Costume Designer* Dress Designer* Fashion Designer* Hat Designer* Sweater Designer* Uniform Designer,,"72,720",Bachelor's degree,3,None,None
Fence erectors    * Chain Link Fence Installer* Fence Builder* Fence Erector* Wire Fence Builder* Wood Fence Installer,,"34,800",No formal educational credential,8,None,Moderate-term on-the-job training
Fiberglass laminators and fabricators    * Fiberglass Boat Builder* Fiberglass Fabricator* Fiberglass Grinder* Fiberglass Laminator* Fiberglass Luggage Molder* Fiberglass Machine Operator* Fiberglass Roller* Fiberglass Ski Maker* Fiberglasser,,"34,500",High school diploma or equivalent,7,None,Moderate-term on-the-job training
File clerks    * Cut File Clerk* Document Clerk* File Clerk* File Keeper* Index Clerk* Records Clerk,,"31,700",High school diploma or equivalent,7,None,Short-term on-the-job training
Film and video editors    * Cue Selector* Electronic News Gathering Editor* Film Editor* Movie Editor* News Video Editor* News Videotape Editor* Tape Editor* Television News Video Editor* Video Tape Transferrer,,"62,650",Bachelor's degree,3,None,None
Financial analysts    * Corporate Financial Analyst* Corporate Securities Research Analyst* Corporate Statistical Financial Analyst* Institutional Commodity Analyst,,"85,660",Bachelor's degree,3,None,None
"Financial clerks, all other    * Bank Vault Attendant* Bank Vault Clerk* Bank Vault Custodian* Financial Operations Clerk* Financial Reserve Clerk* Safe Deposit Clerk* Safety Deposit Clerk* Vault Teller",,"41,020",High school diploma or equivalent,7,None,Short-term on-the-job training
Financial examiners    * Bank Compliance Officer* Bank Examiner* Financial Compliance Examiner* Home Mortgage Disclosure Act Specialist* Payroll Examiner* Pension Examiner,,"80,180",Bachelor's degree,3,None,Long-term on-the-job training
Financial managers    * Banking Center Manager* Banking Manager* City Comptroller* City Treasurer* Comptroller* Credit Manager* Financial Director* Financial Officer* Fiscal Manager* International Bank Manager* Residential Mortgage Manager,,"127,990",Bachelor's degree,3,5 years or more,None
"Financial specialists, all other    * Bail Bondsman* Bondsman* Executor of Estate* Foreign Exchange Trader",,"70,280",Bachelor's degree,3,None,Moderate-term on-the-job training
"Fine artists, including painters, sculptors, and illustrators    * Book Illustrator* Caricature Artist* Comic Artist* Comic Book Artist* Comic Illustrator* Commercial Artist* Concrete Sculptor* Editorial Cartoonist* Fashion Illustrator* Free Lance Artist* Fresco Artist* Glass Artist* Ice Sculptor* Medical Illustrator* Mural Painter* Muralist* Non-Representational Metal Sculptor* Oil Painter* Pattern Illustrator* Political Cartoonist* Portrait Artist* Portrait Painter* Scientific Illustrator* Sketch Artist* Sports Cartoonist* Stained Glass Artist* Water Colorist* Watercolor Artist",,"49,380",Bachelor's degree,3,None,Long-term on-the-job training
Fire inspectors and investigators    * Arson Investigator* CFEI* Certified Fire Investigator* Certified Fire and Explosion Investigator* Certified Vehicle Fire Investigator* Fire Hazard Inspector* Fire Investigator* Fire Prevention Inspector* Fire Safety Inspector,,"62,510",Postsecondary nondegree award,5,5 years or more,Moderate-term on-the-job training
Firefighters    * Fire Engine Pump Operator* Fire Equipment Operator* Fire Fighter* Forest Firefighter* Marine Firefighter* Municipal Firefighter* Smoke Jumper* Wildland Firefighter,,"49,620",Postsecondary nondegree award,5,None,Long-term on-the-job training
First-line supervisors of construction trades and extraction workers    * Carpenter Supervisor* Drilling Foreman* Electrician Supervisor* Excavating Supervisor* Quarry Boss* Rig Supervisor* Roustabout Crew Leader* Segmental Paving Supervisor* Solar Panel Installation Supervisor,,"65,230",High school diploma or equivalent,7,5 years or more,None
First-line supervisors of correctional officers    * Chief Jailer* Correctional Officer Sergeant* Correctional Supervisor* Corrections Sergeant* Prison Guard Supervisor,,"63,340",High school diploma or equivalent,7,Less than 5 years,None
"First-line supervisors of farming, fishing, and forestry workers    * Animal Caretaker Supervisor* Aquacultural Worker Supervisor* Corn Crop Supervisor* Corral Boss* Cranberry Bog Supervisor* Farm Supervisor* Farrowing Manager* Feed Manager* Fish Hatchery Supervisor* Harvest Crew Supervisor* Harvest Manager* Logging Crew Supervisor* Picking Crew Supervisor* Planting Supervisor* Ranch Hand Supervisor",,"46,960",High school diploma or equivalent,7,Less than 5 years,None
